PatientID	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	
TCGA-BP-4784	0.270218	0.130279	0.031034	0.121524	0.233546	0.000082	0.102254	0.111064	
TCGA-CZ-5459	0.315931	0.158695	0.014957	0.242952	0.021285	0.001507	0.070730	0.173944	
TCGA-B0-5707	0.180505	0.079614	0.013334	0.168013	0.347774	0.000667	0.075973	0.134120	
TCGA-BP-5184	0.098459	0.217431	0.090034	0.061627	0.179842	0.000003	0.184357	0.168247	
TCGA-BP-5182	0.206501	0.078410	0.043482	0.052064	0.415848	0.000175	0.125058	0.078462	
TCGA-CZ-5455	0.237433	0.090460	0.014791	0.189828	0.236925	0.013433	0.100817	0.116313	
TCGA-BP-5181	0.117552	0.203355	0.055042	0.178733	0.053121	0.000000	0.093929	0.298268	
TCGA-B0-4710	0.124139	0.068213	0.022556	0.088032	0.372477	0.005107	0.070594	0.248881	
TCGA-B0-5691	0.125326	0.100083	0.027974	0.174504	0.189236	0.000310	0.056100	0.326466	
TCGA-B0-5098	0.128981	0.103058	0.064146	0.130627	0.347544	0.000022	0.130262	0.095360	
TCGA-DV-5576	0.107523	0.101753	0.071294	0.033850	0.475456	0.000069	0.139003	0.071052	
TCGA-B0-5698	0.152234	0.060504	0.013350	0.063609	0.450160	0.000001	0.071268	0.188873	
TCGA-B0-4691	0.198984	0.142312	0.010857	0.340239	0.039394	0.000011	0.054823	0.213380	
TCGA-BP-4798	0.178992	0.136203	0.026137	0.244060	0.149693	0.000059	0.086346	0.178509	
TCGA-BP-4332	0.301223	0.114747	0.010264	0.064931	0.141782	0.000957	0.089390	0.276706	
TCGA-EU-5906	0.163443	0.162940	0.011801	0.226161	0.027937	0.000256	0.049595	0.357867	
TCGA-BP-4760	0.241471	0.126626	0.049170	0.084477	0.256355	0.000000	0.135372	0.106530	
TCGA-BP-4991	0.241591	0.162705	0.019805	0.124060	0.136623	0.000025	0.091678	0.223514	
TCGA-BP-4975	0.136725	0.087308	0.067359	0.043288	0.397030	0.000035	0.118413	0.149841	
TCGA-B0-4822	0.113492	0.185457	0.019828	0.338953	0.042317	0.000050	0.063184	0.236719	
TCGA-B0-5693	0.171454	0.128112	0.022558	0.186883	0.176199	0.000134	0.069955	0.244704	
TCGA-CZ-5467	0.130989	0.161961	0.047290	0.235666	0.110427	0.000346	0.078005	0.235316	
TCGA-CZ-5989	0.124024	0.217489	0.013145	0.131774	0.119328	0.000118	0.108042	0.286080	
TCGA-AK-3440	0.219492	0.060596	0.007601	0.035073	0.382375	0.000000	0.057614	0.237248	
TCGA-BP-4977	0.300040	0.149884	0.012424	0.227952	0.046907	0.000799	0.081717	0.180277	
TCGA-CZ-5987	0.160759	0.092771	0.006889	0.088415	0.319175	0.000023	0.093491	0.238476	
TCGA-BP-4787	0.123335	0.145068	0.106978	0.160286	0.254578	0.000000	0.148342	0.061413	
TCGA-EU-5904	0.144165	0.170373	0.008511	0.264806	0.012956	0.000005	0.044548	0.354635	
TCGA-B0-4694	0.193376	0.139061	0.004747	0.254246	0.071793	0.000114	0.061286	0.275377	
TCGA-BP-4327	0.230004	0.122812	0.028952	0.224278	0.139585	0.000464	0.080263	0.173642	
TCGA-BP-4795	0.260091	0.149823	0.033918	0.098795	0.144354	0.000039	0.118161	0.194818	
TCGA-BP-4756	0.227139	0.198718	0.028536	0.226864	0.080606	0.000123	0.156861	0.081153	
TCGA-BP-5001	0.200110	0.199403	0.029382	0.172628	0.052105	0.000027	0.090614	0.255732	
TCGA-BP-4775	0.119469	0.116795	0.053361	0.059050	0.408987	0.000593	0.108243	0.133503	
TCGA-BP-4968	0.134734	0.193531	0.066003	0.104867	0.163265	0.001535	0.112562	0.223503	
TCGA-AK-3465	0.167799	0.056574	0.002627	0.015413	0.496857	0.000000	0.049209	0.211520	
TCGA-B0-4849	0.158592	0.147541	0.038013	0.325678	0.097997	0.000033	0.066285	0.165862	
TCGA-BP-4804	0.245988	0.140702	0.020977	0.088895	0.228727	0.002332	0.094229	0.178150	
TCGA-B0-4945	0.237511	0.125824	0.006755	0.227511	0.110659	0.000285	0.064877	0.226578	
TCGA-B0-4814	0.130320	0.140566	0.014383	0.387148	0.005554	0.000061	0.039573	0.282394	
TCGA-B0-5119	0.092472	0.140606	0.029823	0.135214	0.130684	0.000095	0.065909	0.405197	
TCGA-BP-5169	0.146307	0.160420	0.059956	0.156749	0.187690	0.000051	0.145849	0.142979	
TCGA-B0-4817	0.280581	0.100864	0.003615	0.345789	0.041209	0.000011	0.053974	0.173957	
TCGA-B0-5085	0.191777	0.131420	0.026177	0.207411	0.125576	0.000221	0.069830	0.247587	
TCGA-A3-3376	0.390134	0.111160	0.006385	0.259753	0.006811	0.000022	0.049996	0.175738	
TCGA-DV-5569	0.101942	0.137342	0.054291	0.112739	0.309001	0.000098	0.122322	0.162266	
TCGA-BP-4343	0.121680	0.158601	0.092486	0.233033	0.164383	0.000008	0.115840	0.113968	
TCGA-CZ-5451	0.089606	0.182013	0.012113	0.253229	0.074588	0.000178	0.063697	0.324576	
TCGA-BP-4344	0.161858	0.151389	0.045609	0.102973	0.250986	0.000308	0.095310	0.191567	
TCGA-BP-4970	0.141488	0.128483	0.073065	0.131368	0.311944	0.000153	0.130353	0.083147	
TCGA-B0-4707	0.108326	0.053988	0.019361	0.027944	0.492161	0.000341	0.080105	0.217773	
TCGA-B0-5100	0.131086	0.075266	0.018711	0.053999	0.324514	0.000076	0.066864	0.329483	
TCGA-B0-4714	0.207054	0.111293	0.010480	0.218063	0.087884	0.000024	0.053266	0.311935	
TCGA-B0-5711	0.170028	0.132221	0.019335	0.236806	0.105506	0.000069	0.062377	0.273658	
TCGA-B8-5550	0.181917	0.114084	0.046927	0.196160	0.249183	0.000046	0.122248	0.089434	
TCGA-B8-5553	0.192253	0.076402	0.017265	0.093835	0.407830	0.000101	0.076760	0.135555	
TCGA-B0-5109	0.257784	0.191689	0.031355	0.239536	0.037562	0.008056	0.106880	0.127138	
