PatientID	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	
TCGA-15-1449	0.267692	0.031399	0.077561	0.265354	0.097872	0.000688	0.232031	0.027403	
TCGA-19-5955	0.095124	0.143612	0.255549	0.063035	0.067061	0.000024	0.244482	0.131114	
TCGA-12-0662	0.188673	0.121731	0.203375	0.066103	0.068632	0.000344	0.229889	0.121253	
TCGA-06-0189	0.146193	0.137810	0.145860	0.097331	0.136341	0.001049	0.267267	0.068148	
TCGA-19-4068	0.066435	0.355322	0.315542	0.032209	0.103801	0.000000	0.074828	0.051864	
TCGA-14-1827	0.209751	0.055446	0.120907	0.124374	0.067772	0.001816	0.375158	0.044776	
TCGA-02-0009	0.079270	0.207453	0.099510	0.092554	0.104568	0.000026	0.287139	0.129480	
TCGA-14-1402	0.401301	0.065112	0.092868	0.083943	0.154899	0.001077	0.187953	0.012846	
TCGA-06-0184	0.082100	0.078221	0.186092	0.112885	0.062781	0.000287	0.274031	0.203604	
TCGA-06-0750	0.456043	0.046200	0.120518	0.108705	0.105219	0.003780	0.145187	0.014350	
TCGA-06-0208	0.390594	0.072924	0.149344	0.121121	0.124738	0.000046	0.087623	0.053609	
TCGA-19-5951	0.094738	0.137937	0.384313	0.014621	0.056361	0.001427	0.212725	0.097878	
TCGA-06-1084	0.175348	0.121966	0.181481	0.153883	0.090999	0.000043	0.214952	0.061329	
TCGA-06-0749	0.263924	0.088916	0.117101	0.060123	0.089989	0.000048	0.359281	0.020617	
TCGA-41-3915	0.486186	0.032887	0.050363	0.233567	0.156616	0.000046	0.033768	0.006567	
TCGA-14-1821	0.294714	0.083498	0.138323	0.314125	0.109593	0.000062	0.045961	0.013724	
TCGA-41-4097	0.301057	0.037394	0.038083	0.314962	0.112365	0.000023	0.179637	0.016479	
TCGA-14-0786	0.153402	0.067637	0.112525	0.099387	0.085306	0.005581	0.437017	0.039145	
TCGA-12-0619	0.138554	0.109069	0.115852	0.187560	0.102338	0.000425	0.258845	0.087356	
TCGA-02-0439	0.223310	0.199025	0.201732	0.096594	0.129258	0.000061	0.064775	0.085246	
TCGA-12-0656	0.142767	0.121572	0.171069	0.047821	0.064960	0.000396	0.366309	0.085107	
